ExhibitionTitle,Date,ExhibitionURL,DisplayName,Nationality,ConstituentBeginDate,ConstituentEndDate,Gender,ConstituentURL
Chaim Soutine,1950,moma.org/calendar/exhibitions/3271,Chaim Soutine,French,1893,1943,Male,moma.org/artists/5543
Good Design,1950,moma.org/calendar/exhibitions/1714,Alvar Aalto,Finnish,1898,1976,Male,moma.org/artists/34
Good Design,1950,moma.org/calendar/exhibitions/1714,John Van Acker,,,,,moma.org/artists/64210
Good Design,1950,moma.org/calendar/exhibitions/1714,Anni Albers,American,1899,1994,Female,moma.org/artists/96
Good Design,1950,moma.org/calendar/exhibitions/1714,William Armbruster,,,,,moma.org/artists/61691
Good Design,1950,moma.org/calendar/exhibitions/1714,Folke Arstrom,Swedish,1907,1997,Male,moma.org/artists/15
Good Design,1950,moma.org/calendar/exhibitions/1714,Benjamin Baldwin,American,1913,1993,Male,moma.org/artists/309
Good Design,1950,moma.org/calendar/exhibitions/1714,Joseph Barkdoll,,,,,moma.org/artists/62408
Good Design,1950,moma.org/calendar/exhibitions/1714,Michael L. Belangie,,,,,moma.org/artists/61985
Good Design,1950,moma.org/calendar/exhibitions/1714,Emily Belding,American,,,Female,moma.org/artists/7329
Good Design,1950,moma.org/calendar/exhibitions/1714,Monica Bratt,,,,,moma.org/artists/64208
Good Design,1950,moma.org/calendar/exhibitions/1714,Earline Brice,,,,,moma.org/artists/61918
Good Design,1950,moma.org/calendar/exhibitions/1714,Carl Brorup,,,,,moma.org/artists/64175
Good Design,1950,moma.org/calendar/exhibitions/1714,Arundell Clarke,,,,,moma.org/artists/62079
Good Design,1950,moma.org/calendar/exhibitions/1714,H. Angus Conners,,,,,moma.org/artists/62411
Good Design,1950,moma.org/calendar/exhibitions/1714,Alban Conway,,,,,moma.org/artists/64197
Good Design,1950,moma.org/calendar/exhibitions/1714,Freda Diamond,American,1905,1998,Female,moma.org/artists/8645
Good Design,1950,moma.org/calendar/exhibitions/1714,Charles Eames,American,1907,1978,Male,moma.org/artists/1671
Good Design,1950,moma.org/calendar/exhibitions/1714,Ray Eames,American,1912,1988,Female,moma.org/artists/1672
Good Design,1950,moma.org/calendar/exhibitions/1714,Marli Ehrman,American,1904,1982,Female,moma.org/artists/1694
Good Design,1950,moma.org/calendar/exhibitions/1714,Noel S. Florence,,,,,moma.org/artists/64192
Good Design,1950,moma.org/calendar/exhibitions/1714,Martin Freedgood,,,,,moma.org/artists/61699
Good Design,1950,moma.org/calendar/exhibitions/1714,Geraldine Funk,,,,,moma.org/artists/64214
Good Design,1950,moma.org/calendar/exhibitions/1714,Harry Gitlin,American,1914,1986,Male,moma.org/artists/2180
Good Design,1950,moma.org/calendar/exhibitions/1714,Taylor Green,American,1914,,,moma.org/artists/22677
